,eta,epsilon,sigma_init,mu,K,TMSE,CB
0,0.05,0.35,0.2,0.05,1,0.38273568099753186,69
1,0.05,0.35,0.2,0.05,2,0.3857292020401118,69
2,0.05,0.35,0.2,0.05,4,0.38919292108988357,69
3,0.05,0.35,0.2,0.05,6,0.3957093375330598,69
4,0.05,0.35,0.2,0.05,8,0.41360745017603795,69
5,0.05,0.35,0.2,0.1,1,0.3239841985703539,69
6,0.05,0.35,0.2,0.1,2,0.3265547264285729,69
7,0.05,0.35,0.2,0.1,4,0.3294070577576658,69
8,0.05,0.35,0.2,0.1,6,0.33501816654887107,69
9,0.05,0.35,0.2,0.1,8,0.35127725868090465,69
10,0.05,0.35,0.2,0.2,1,0.2809271962646427,69
11,0.05,0.35,0.2,0.2,2,0.28244744671144123,69
12,0.05,0.35,0.2,0.2,4,0.28443693965646955,69
13,0.05,0.35,0.2,0.2,6,0.2881159864427857,69
14,0.05,0.35,0.2,0.2,8,0.3004735956285678,69
15,0.05,0.35,0.2,0.3,1,0.2635518661819905,69
16,0.05,0.35,0.2,0.3,2,0.2642076883982792,69
17,0.05,0.35,0.2,0.3,4,0.2655343059035877,69
18,0.05,0.35,0.2,0.3,6,0.2675598570597583,69
19,0.05,0.35,0.2,0.3,8,0.2771980503815309,69
20,0.05,0.35,0.2,0.4,1,0.25410852546035045,69
21,0.05,0.35,0.2,0.4,2,0.25413609560815964,69
22,0.05,0.35,0.2,0.4,4,0.2548071534927277,69
23,0.05,0.35,0.2,0.4,6,0.2552753845483541,69
24,0.05,0.35,0.2,0.4,8,0.26260784911751606,69
25,0.05,0.35,0.4,0.05,1,0.2802636523985412,69
26,0.05,0.35,0.4,0.05,2,0.28056974797455064,69
27,0.05,0.35,0.4,0.05,4,0.28050520716301947,69
28,0.05,0.35,0.4,0.05,6,0.28115760545997803,69
29,0.05,0.35,0.4,0.05,8,0.2831572063413222,69
30,0.05,0.35,0.4,0.1,1,0.2727962473556962,69
31,0.05,0.35,0.4,0.1,2,0.2732174728436483,69
32,0.05,0.35,0.4,0.1,4,0.2731130059544588,69
33,0.05,0.35,0.4,0.1,6,0.2740163149777876,69
34,0.05,0.35,0.4,0.1,8,0.27685156949537043,69
35,0.05,0.35,0.4,0.2,1,0.2616887171734254,69
36,0.05,0.35,0.4,0.2,2,0.2621347180378633,69
37,0.05,0.35,0.4,0.2,4,0.2620243324726245,69
38,0.05,0.35,0.4,0.2,6,0.26302252677660826,69
39,0.05,0.35,0.4,0.2,8,0.2663072022570129,69
40,0.05,0.35,0.4,0.3,1,0.25479658982182446,69
41,0.05,0.35,0.4,0.3,2,0.25519154719254095,69
42,0.05,0.35,0.4,0.3,4,0.2551168122388077,69
43,0.05,0.35,0.4,0.3,6,0.2560578776377226,69
44,0.05,0.35,0.4,0.3,8,0.2593197700265616,69
45,0.05,0.35,0.4,0.4,1,0.25022531107711476,69
46,0.05,0.35,0.4,0.4,2,0.25055027591399454,69
47,0.05,0.35,0.4,0.4,4,0.2505244085205125,69
48,0.05,0.35,0.4,0.4,6,0.2513664898899931,69
49,0.05,0.35,0.4,0.4,8,0.25446772889683944,69
50,0.05,0.35,0.6,0.05,1,0.2221663409776186,69
51,0.05,0.35,0.6,0.05,2,0.2222180624043384,69
52,0.05,0.35,0.6,0.05,4,0.22200944545256024,69
53,0.05,0.35,0.6,0.05,6,0.22194316260594568,69
54,0.05,0.35,0.6,0.05,8,0.2222060676227391,69
55,0.05,0.35,0.6,0.1,1,0.22451270095139592,69
56,0.05,0.35,0.6,0.1,2,0.2246174227771355,69
57,0.05,0.35,0.6,0.1,4,0.22419814704813384,69
58,0.05,0.35,0.6,0.1,6,0.22406625310727996,69
59,0.05,0.35,0.6,0.1,8,0.2245876057487597,69
60,0.05,0.35,0.6,0.2,1,0.22945704194712047,69
61,0.05,0.35,0.6,0.2,2,0.22963352389583616,69
62,0.05,0.35,0.6,0.2,4,0.22893399642174814,69
63,0.05,0.35,0.6,0.2,6,0.2287136593226716,69
64,0.05,0.35,0.6,0.2,8,0.22959046202609654,69
65,0.05,0.35,0.6,0.3,1,0.232152703404233,69
66,0.05,0.35,0.6,0.3,2,0.2323670084053504,69
67,0.05,0.35,0.6,0.3,4,0.23152411667670636,69
68,0.05,0.35,0.6,0.3,6,0.23125756859563945,69
69,0.05,0.35,0.6,0.3,8,0.23234297555919126,69
70,0.05,0.35,0.6,0.4,1,0.23366291097515962,69
71,0.05,0.35,0.6,0.4,2,0.23389505699695787,69
72,0.05,0.35,0.6,0.4,4,0.23298851550407082,69
73,0.05,0.35,0.6,0.4,6,0.23270007891559236,69
74,0.05,0.35,0.6,0.4,8,0.23391127313349253,69
75,0.05,0.5,0.2,0.05,1,0.582230550561028,37
76,0.05,0.5,0.2,0.05,2,0.5927443400595844,37
77,0.05,0.5,0.2,0.05,4,0.6216470192911633,37
78,0.05,0.5,0.2,0.05,6,0.6646082888698266,37
79,0.05,0.5,0.2,0.05,8,0.7549513480859018,37
80,0.05,0.5,0.2,0.1,1,0.4375323532142047,37
81,0.05,0.5,0.2,0.1,2,0.4461908209018454,37
82,0.05,0.5,0.2,0.1,4,0.4733231312149596,37
83,0.05,0.5,0.2,0.1,6,0.5178385767378131,37
84,0.05,0.5,0.2,0.1,8,0.6179068830867621,37
85,0.05,0.5,0.2,0.2,1,0.338321527824878,37
86,0.05,0.5,0.2,0.2,2,0.3438227636239305,37
87,0.05,0.5,0.2,0.2,4,0.36161040705226544,37
88,0.05,0.5,0.2,0.2,6,0.3929936671086788,37
89,0.05,0.5,0.2,0.2,8,0.4897326010642872,37
90,0.05,0.5,0.2,0.3,1,0.30224017181128376,37
91,0.05,0.5,0.2,0.3,2,0.30593563877374697,37
92,0.05,0.5,0.2,0.3,4,0.31904255462818687,37
93,0.05,0.5,0.2,0.3,6,0.3405679120660268,37
94,0.05,0.5,0.2,0.3,8,0.4288738116434511,37
95,0.05,0.5,0.2,0.4,1,0.28417064872593517,37
96,0.05,0.5,0.2,0.4,2,0.2856890976843092,37
97,0.05,0.5,0.2,0.4,4,0.2971121059033849,37
98,0.05,0.5,0.2,0.4,6,0.3132556523292997,37
99,0.05,0.5,0.2,0.4,8,0.39336647066998065,37
100,0.05,0.5,0.4,0.05,1,0.3121953594403669,37
101,0.05,0.5,0.4,0.05,2,0.31322303592918876,37
102,0.05,0.5,0.4,0.05,4,0.31519112693357026,37
103,0.05,0.5,0.4,0.05,6,0.31893388298847297,37
104,0.05,0.5,0.4,0.05,8,0.3301782795256713,37
105,0.05,0.5,0.4,0.1,1,0.29911309604343617,37
106,0.05,0.5,0.4,0.1,2,0.30035306247536353,37
107,0.05,0.5,0.4,0.1,4,0.3027758133420678,37
108,0.05,0.5,0.4,0.1,6,0.307728396408302,37
109,0.05,0.5,0.4,0.1,8,0.3236260014873717,37
110,0.05,0.5,0.4,0.2,1,0.27877295559339166,37
111,0.05,0.5,0.4,0.2,2,0.2798709344938138,37
112,0.05,0.5,0.4,0.2,4,0.28208834850298964,37
113,0.05,0.5,0.4,0.2,6,0.28686756353592535,37
114,0.05,0.5,0.4,0.2,8,0.30442877206932695,37
115,0.05,0.5,0.4,0.3,1,0.2673272557735467,37
116,0.05,0.5,0.4,0.3,2,0.26820743556346077,37
117,0.05,0.5,0.4,0.3,4,0.2700289384750553,37
118,0.05,0.5,0.4,0.3,6,0.27397004983414525,37
119,0.05,0.5,0.4,0.3,8,0.29029090561069665,37
120,0.05,0.5,0.4,0.4,1,0.26029297381372435,37
121,0.05,0.5,0.4,0.4,2,0.26097582722114865,37
122,0.05,0.5,0.4,0.4,4,0.26238720544495175,37
123,0.05,0.5,0.4,0.4,6,0.26547603334708464,37
124,0.05,0.5,0.4,0.4,8,0.27965037193289843,37
125,0.05,0.5,0.6,0.05,1,0.23818816033214665,37
126,0.05,0.5,0.6,0.05,2,0.2383738615104029,37
127,0.05,0.5,0.6,0.05,4,0.23835445307784453,37
128,0.05,0.5,0.6,0.05,6,0.23885173294001763,37
129,0.05,0.5,0.6,0.05,8,0.2406919313493623,37
130,0.05,0.5,0.6,0.1,1,0.24451185990866228,37
131,0.05,0.5,0.6,0.1,2,0.24485140973090105,37
132,0.05,0.5,0.6,0.1,4,0.24481150599853058,37
133,0.05,0.5,0.6,0.1,6,0.24575453531566435,37
